CarTitle,ImageURL,Price,Rating,PageDirectionLink,carPassenger,carTransmission Type,carSpecification
Kia_Soul or,https://mediaim.expedia.com/cars/1101/85f46e9b-5a7f-4ac8-8be4-637eee2a6bea.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$64,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomzla7dhDusjN4cgFn_EcJdV4sANhEHBdBmfCQ9pdbEzxb-GflVodmSmGOyMVBCFZY&dailyPriceShown=64.26&totalPriceShown=64.26&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=171.17&offerQualifiers=GreatDeal&isCaliforniaUser=false,5,Automatic,Economy
Nissan_Versa or,https://mediaim.expedia.com/cars/1101/87caab03-71d1-415c-a7c1-cb4a8eea7852.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$65,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomzla7dhDusjN4cgFn_EcJd2yKVca8NjARAJ-NDnWivjBb-GflVodmSmGOyMVBCFZY&dailyPriceShown=64.54&totalPriceShown=64.54&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=164.57&offerQualifiers=GreatDeal&isCaliforniaUser=false,5,Automatic,Compact
Toyota_Corolla or,https://mediaim.expedia.com/cars/1101/eae631c0-f1a9-4efc-ba47-8aac0ae56111.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$67,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomzla7dhDusjN4cgFn_EcJdulj3_EPwuJCNRAsWdXLTFRb-GflVodmSmGOyMVBCFZY&dailyPriceShown=66.62&totalPriceShown=66.62&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=157.72&offerQualifiers=GreatDeal&isCaliforniaUser=false,5,Automatic,Midsize
Mazda 2,https://mediaim.expedia.com/cars/1148/b900cb06-40e1-4197-9ce9-314bad988b23.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$67,3.50,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQhYyJ7NpoO6qpX3uWM9K76uCCeOht1uINgX8MPYXNAoaGuH7y5IUNRg0IB1Mb8GTSk_e1MkhHgWz7hpZA651Rm5yCV3DDSTzuI4yQCnuZmLV_X7lvymNJRqRvvXMdD9JgYqlXP9lfAL7UaQgSY0mq5Q&dailyPriceShown=66.68&totalPriceShown=66.68&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=164.57&isCaliforniaUser=false,5,Automatic,Compact
NISSAN VERSA,https://mediaim.expedia.com/cars/1148/514f3398-56b8-4950-adef-96668ebebef7.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$67,3.50,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQhYyJ7NpoO6qpX3uWM9K76uCCeOht1uINgX8MPYXNAoaGuH7y5IUNRg0IB1Mb8GTSk_e1MkhHgWz7hpZA651Rm5yCV3DDSTzuI4yQCnuZmLWnKvpqV1D0RSG3zMdmZajgYqlXP9lfAL7UaQgSY0mq5Q&dailyPriceShown=67.13&totalPriceShown=67.13&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=157.72&offerQualifiers=GreatDeal&isCaliforniaUser=false,5,Automatic,Midsize
Hyundai Elantra,https://mediaim.expedia.com/cars/1148/eb77a390-9258-432d-b40b-b8451b0cdd54.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$68,3.50,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQhYyJ7NpoO6qpX3uWM9K76uCCeOht1uINgX8MPYXNAoaGuH7y5IUNRg0IB1Mb8GTSk_e1MkhHgWz7hpZA651Rm5yCV3DDSTzuI4yQCnuZmLUIiQLXfVGrfm6WeKTe8xGXYqlXP9lfAL7UaQgSY0mq5Q&dailyPriceShown=67.56&totalPriceShown=67.56&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=172.29&offerQualifiers=GreatDeal&isCaliforniaUser=false,5,Automatic,Standard
Compact or,https://mediaim.expedia.com/cars/1101/b50aede5-96e3-4dd6-9a43-bacf381537ca.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$70,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomzla7dhDusjN4cgFn_EcJdh_YBsxh1v-yZpF8YKVjJbhb-GflVodmSmGOyMVBCFZY&dailyPriceShown=69.58&totalPriceShown=69.58&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=114.32&offerQualifiers=GreatDeal&isCaliforniaUser=false,5,Automatic,Special
Hyundai Sonata,https://mediaim.expedia.com/cars/1148/328cc747-3399-41a8-98eb-fc7cb3ac4f15.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$71,3.50,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQhYyJ7NpoO6qpX3uWM9K76uCCeOht1uINgX8MPYXNAoaGuH7y5IUNRg0IB1Mb8GTSk_e1MkhHgWz7hpZA651Rm5yCV3DDSTzuI4yQCnuZmLUNco-1aslTUi78dOXDt_k6YqlXP9lfAL7UaQgSY0mq5Q&dailyPriceShown=71.07&totalPriceShown=71.07&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=155.07&offerQualifiers=GreatDeal&isCaliforniaUser=false,5,Automatic,Fullsize
Kia_Soul or,https://mediaim.expedia.com/cars/1101/85f46e9b-5a7f-4ac8-8be4-637eee2a6bea.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$47,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvokYfpHuiByy4QLVQiBF1xjPV4sANhEHBdBmfCQ9pdbEz4W1OLJ7MGW7zI15CY6XLH4&dailyPriceShown=46.92&totalPriceShown=71.39&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=171.17&isCaliforniaUser=false,5,Automatic,Economy
Nissan_Versa or,https://mediaim.expedia.com/cars/1101/87caab03-71d1-415c-a7c1-cb4a8eea7852.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$47,3.30,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=5921113&locn=Toronto+%28YYZ+-+Pearson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvokYfpHuiByy4QLVQiBF1xjP2yKVca8NjARAJ-NDnWivjIW1OLJ7MGW7zI15CY6XLH4&dailyPriceShown=47.16&totalPriceShown=71.71&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D5921113%26locn%3DToronto%2B%2528YYZ%2B-%2BPearson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=164.57&isCaliforniaUser=false,5,Automatic,Compact
