CarTitle,ImageURL,Price,Rating,PageDirectionLink
Toyota Corolla,https://mediaim.expedia.com/cars/69/c7859f64-7b74-4b63-a819-afd2d445cdc0.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$39,3.55,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Toyota Corolla,https://mediaim.expedia.com/cars/19/92c43819-9328-400a-8516-6b16b7971736.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$37,2.90,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Toyota Camry,https://mediaim.expedia.com/cars/19/8a46595b-5936-44d8-9e79-b3d28012405e.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$39,2.90,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Nissan Altima,https://mediaim.expedia.com/cars/69/a056d9bf-bcbe-4065-9453-06000bea1aac.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$41,3.55,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Fiat 500,https://mediaim.expedia.com/cars/69/62b0b65a-4cf2-4700-8440-7f19ecaaae20.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$45,3.55,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Toyota Yaris,https://mediaim.expedia.com/cars/19/c181d325-4079-4d28-be54-32cfc9d159d7.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$43,2.90,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Nissan Versa,https://mediaim.expedia.com/cars/69/b94efde8-7988-44b6-bfb8-b5c0e71aad7d.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$45,3.55,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Nissan Versa,https://mediaim.expedia.com/cars/19/275493b5-dceb-417e-bfe9-fc2ac5c2bc91.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$43,2.90,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Hyundai Elantra,https://mediaim.expedia.com/cars/69/2e56d37c-eca8-459c-9c85-7fc626efb35f.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$46,3.55,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
Volkswagen Jetta,https://mediaim.expedia.com/cars/19/151f271a-d258-493e-80a9-8a853fee0578.jpg?impolicy=resizecrop&ra=fit&rh=165&rw=165,$44,2.90,https://www.carrentals.com/carsearch/details?date1=8%2F7%2F2024&date2=8%2F8%2F2024&time1=1030AM&time2=1030AM&dpln=4675417&locn=Winnipeg+%28YWG+-+Winnipeg+James+Armstrong+Richardson+Intl.%29&rfrr=Homepage&piid=AQpJoP8-pKlZqilSbi05Xti7avjCnI7in9MF41jMKsvomguAiov96ecoeW-H9OCtwCRcXmmLGv4crrhi2E6rGFGgqVScEuDBjbwIc0ffJacqQ&dailyPriceShown=38.72&totalPriceShown=66.12&searchUrl=%2Fcarsearch%3Fdate1%3D8%252F7%252F2024%26date2%3D8%252F8%252F2024%26time1%3D1030AM%26time2%3D1030AM%26dpln%3D4675417%26locn%3DWinnipeg%2B%2528YWG%2B-%2BWinnipeg%2BJames%2BArmstrong%2BRichardson%2BIntl.%2529%26rfrr%3DHomepage&period=daily&isOffAirport=false&isTravelApiSearch=true&avgCatPR=106.1&offerQualifiers=GreatDeal&isCaliforniaUser=false
